,,,,,,
,Url,Anchor Text,External,,,
,https://answers.justia.com/,,FALSE,,,
,https://accounts.justia.com/signin?destination=https%3A%2F%2Fanswers.justia.com%2Flawyer%2F1219650%2Fquestions%2Fanswered,Log In,TRUE,,,
,https://accounts.justia.com/,Sign Up,TRUE,,,
,https://www.justia.com/lawyers,Find a Lawyer,TRUE,,,
,https://answers.justia.com/,Ask a Lawyer,FALSE,,,
,https://www.justia.com/,Research the Law,TRUE,,,
,https://www.justia.com/law-schools/,Law Schools,TRUE,,,
,https://law.justia.com/,Laws & Regs,TRUE,,,
,https://connect.justia.com/case-law-summary-newsletters,Newsletters,TRUE,,,
,https://www.justia.com/marketing/,Marketing Solutions,TRUE,,,
,https://www.justia.com/marketing/connect/,Justia Connect,TRUE,,,
,https://www.justia.com/marketing/connect/#pro-membership,Pro Membership,TRUE,,,
,https://www.justia.com/marketing/connect/#basic-membership,Basic Membership,TRUE,,,
,https://www.justia.com/marketing/lawyer-directory/,Justia Lawyer Directory,TRUE,,,
,https://www.justia.com/marketing/lawyer-directory/platinum/,Platinum Placements,TRUE,,,
,https://www.justia.com/marketing/lawyer-directory/gold/,Gold Placements,TRUE,,,
,https://www.justia.com/marketing/elevate/,Justia Elevate,TRUE,,,
,https://www.justia.com/marketing/elevate/search-engine-optimization/,SEO,TRUE,,,
,https://www.justia.com/marketing/elevate/law-firm-websites/,Websites,TRUE,,,
,https://www.justia.com/marketing/elevate/law-blogs/,Blogs,TRUE,,,
,https://www.justia.com/marketing/amplify/,Justia Amplify,TRUE,,,
,https://www.justia.com/marketing/amplify/cpc-ppc/,PPC Management,TRUE,,,
,https://www.justia.com/marketing/amplify/google-business-profile/,Google Business Profile,TRUE,,,
,https://www.justia.com/marketing/amplify/social-media-networking/,Social Media,TRUE,,,
,https://onward.justia.com/,Justia Onward Blog,TRUE,,,
,https://www.justia.com/,Justia,TRUE,,,
,https://answers.justia.com/,Ask a Lawyer,FALSE,,,
,https://accounts.justia.com/signin?destination=https%3A%2F%2Fanswers.justia.com%2Flawyer%2F1219650%2Fquestions%2Fanswered,Log In,TRUE,,,
,https://answers.justia.com/questions/answered/real-estate-law,Real Estate Law,FALSE,,,
